CPU Frequency: 1000mhz
starting lcm thread... 
starting setpoint thread... 
starting print thread... 
initializing imu... 
initializing controller...
initializing motors...
initializing odometry...
attaching imu interupt...
we are running!!!

RUNNING...
SENSORS | ODOMETRY |
  X_DOT  |    X    |
  0.216  |  0.702  |  0.216  |  0.216  
  0.231  |  0.704  |  0.239  |  0.223  
  0.185  |  0.706  |  0.192  |  0.177  
  0.216  |  0.708  |  0.216  |  0.216  
  0.231  |  0.710  |  0.231  |  0.231  
  0.216  |  0.713  |  0.216  |  0.216  
  0.216  |  0.715  |  0.223  |  0.208  
  0.216  |  0.717  |  0.216  |  0.216  
  0.200  |  0.719  |  0.208  |  0.192  
  0.216  |  0.721  |  0.208  |  0.223  
  0.200  |  0.723  |  0.200  |  0.200  
  0.231  |  0.725  |  0.231  |  0.231  
  0.200  |  0.727  |  0.208  |  0.192  
  0.216  |  0.730  |  0.223  |  0.208  
  0.216  |  0.732  |  0.216  |  0.216  
  0.216  |  0.734  |  0.223  |  0.208  
  0.200  |  0.736  |  0.200  |  0.200  
  0.216  |  0.738  |  0.223  |  0.208  
  0.231  |  0.740  |  0.231  |  0.231  
  0.200  |  0.742  |  0.200  |  0.200  
  0.200  |  0.744  |  0.208  |  0.192  
  0.231  |  0.747  |  0.239  |  0.223  
  0.200  |  0.749  |  0.200  |  0.200  
  0.231  |  0.751  |  0.231  |  0.231  
  0.216  |  0.753  |  0.216  |  0.216  
  0.185  |  0.755  |  0.192  |  0.177  
  0.200  |  0.757  |  0.208  |  0.192  
  0.231  |  0.759  |  0.231  |  0.231  
  0.200  |  0.761  |  0.192  |  0.208  
  0.231  |  0.763  |  0.239  |  0.223  
  0.200  |  0.765  |  0.200  |  0.200  
  0.216  |  0.768  |  0.223  |  0.208  
  0.231  |  0.770  |  0.231  |  0.231  
  0.200  |  0.772  |  0.200  |  0.200  
  0.216  |  0.774  |  0.223  |  0.208  
  0.200  |  0.778  |  0.208  |  0.192  
  0.231  |  0.780  |  0.231  |  0.231  
  0.216  |  0.783  |  0.216  |  0.216  
  0.216  |  0.785  |  0.216  |  0.216  
  0.216  |  0.787  |  0.223  |  0.208  
  0.216  |  0.789  |  0.216  |  0.216  
  0.216  |  0.791  |  0.216  |  0.216  
  0.200  |  0.793  |  0.200  |  0.200  
  0.231  |  0.795  |  0.231  |  0.231  
  0.200  |  0.797  |  0.208  |  0.192  
  0.216  |  0.800  |  0.223  |  0.208  
  0.200  |  0.802  |  0.192  |  0.208  
  0.216  |  0.804  |  0.223  |  0.208  
  0.216  |  0.806  |  0.216  |  0.216  
  0.231  |  0.808  |  0.231  |  0.231  
  0.185  |  0.810  |  0.192  |  0.177  
  0.231  |  0.812  |  0.239  |  0.223  
  0.200  |  0.814  |  0.200  |  0.200  
  0.231  |  0.817  |  0.231  |  0.231  
  0.200  |  0.819  |  0.200  |  0.200  
  0.231  |  0.821  |  0.231  |  0.231  
  0.200  |  0.823  |  0.208  |  0.192  
  0.231  |  0.825  |  0.231  |  0.231  
  0.216  |  0.827  |  0.216  |  0.216  
  0.216  |  0.830  |  0.216  |  0.216  
  0.200  |  0.832  |  0.208  |  0.192  
  0.216  |  0.834  |  0.216  |  0.216  
  0.216  |  0.836  |  0.223  |  0.208  
  0.216  |  0.838  |  0.216  |  0.216  
  0.200  |  0.840  |  0.208  |  0.192  
  0.216  |  0.842  |  0.216  |  0.216  
  0.231  |  0.844  |  0.231  |  0.231  
  0.216  |  0.847  |  0.223  |  0.208  
  0.200  |  0.849  |  0.200  |  0.200  
  0.231  |  0.851  |  0.231  |  0.231  
  0.200  |  0.853  |  0.200  |  0.200  
  0.200  |  0.855  |  0.208  |  0.192  
  0.216  |  0.857  |  0.216  |  0.216  
  0.200  |  0.859  |  0.208  |  0.192  
  0.216  |  0.861  |  0.223  |  0.208  
  0.231  |  0.863  |  0.231  |  0.231  
  0.216  |  0.866  |  0.216  |  0.216  
  0.216  |  0.868  |  0.216  |  0.216  
  0.200  |  0.872  |  0.192  |  0.208  
  0.216  |  0.874  |  0.223  |  0.208  
  0.216  |  0.876  |  0.216  |  0.216  
  0.216  |  0.878  |  0.223  |  0.208  
  0.216  |  0.880  |  0.216  |  0.216  
  0.216  |  0.883  |  0.216  |  0.216  
  0.216  |  0.885  |  0.223  |  0.208  
  0.200  |  0.887  |  0.200  |  0.200  
  0.216  |  0.889  |  0.223  |  0.208  
  0.216  |  0.891  |  0.216  |  0.216  
  0.216  |  0.893  |  0.216  |  0.216  
  0.216  |  0.895  |  0.216  |  0.216  
  0.216  |  0.897  |  0.223  |  0.208  
