CPU Frequency: 1000mhz
starting lcm thread... 
starting setpoint thread... 
starting print thread... 
initializing imu... 
initializing controller...
initializing motors...
initializing odometry...
attaching imu interupt...
we are running!!!

RUNNING...
SENSORS | ODOMETRY |
  X_DOT  |    X    |
  0.462  |  0.857  |  0.462  |  0.462  
  0.462  |  0.861  |  0.462  |  0.462  
  0.462  |  0.866  |  0.462  |  0.462  
  0.493  |  0.871  |  0.493  |  0.492  
  0.462  |  0.875  |  0.454  |  0.470  
  0.431  |  0.880  |  0.423  |  0.439  
  0.462  |  0.884  |  0.470  |  0.454  
  0.477  |  0.889  |  0.477  |  0.478  
  0.446  |  0.894  |  0.454  |  0.439  
  0.431  |  0.898  |  0.439  |  0.423  
  0.493  |  0.903  |  0.493  |  0.493  
  0.477  |  0.908  |  0.477  |  0.477  
  0.477  |  0.912  |  0.485  |  0.470  
  0.416  |  0.916  |  0.416  |  0.416  
  0.431  |  0.921  |  0.423  |  0.439  
  0.493  |  0.926  |  0.492  |  0.493  
  0.493  |  0.931  |  0.492  |  0.493  
  0.462  |  0.935  |  0.462  |  0.462  
  0.462  |  0.940  |  0.462  |  0.462  
  0.462  |  0.944  |  0.462  |  0.462  
  0.462  |  0.949  |  0.462  |  0.462  
  0.508  |  0.954  |  0.508  |  0.508  
  0.462  |  0.959  |  0.462  |  0.462  
  0.462  |  0.963  |  0.462  |  0.462  
  0.477  |  0.973  |  0.477  |  0.478  
  0.446  |  0.978  |  0.446  |  0.447  
  0.523  |  0.983  |  0.523  |  0.523  
  0.493  |  0.988  |  0.492  |  0.493  
  0.477  |  0.992  |  0.477  |  0.477  
  0.446  |  0.997  |  0.446  |  0.447  
  0.523  |  1.002  |  0.523  |  0.524  
  0.508  |  1.007  |  0.508  |  0.508  
  0.493  |  1.012  |  0.493  |  0.492  
  0.462  |  1.017  |  0.462  |  0.462  
  0.508  |  1.022  |  0.508  |  0.508  
  0.493  |  1.027  |  0.492  |  0.493  
  0.523  |  1.032  |  0.523  |  0.523  
  0.477  |  1.037  |  0.477  |  0.477  
  0.508  |  1.042  |  0.508  |  0.508  
  0.493  |  1.047  |  0.492  |  0.493  
  0.523  |  1.052  |  0.523  |  0.524  
  0.508  |  1.057  |  0.508  |  0.508  
  0.477  |  1.062  |  0.477  |  0.477  
  0.477  |  1.067  |  0.477  |  0.477  
  0.554  |  1.072  |  0.554  |  0.554  
  0.554  |  1.078  |  0.554  |  0.554  
