CPU Frequency: 1000mhz
starting lcm thread... 
starting setpoint thread... 
starting print thread... 
initializing imu... 
initializing controller...
initializing motors...
initializing odometry...
attaching imu interupt...
we are running!!!

RUNNING...
SENSORS | ODOMETRY |
  X_DOT  |    X    |
  0.699  |  7.569  |  0.699  |  0.699  
  0.696  |  7.604  |  0.694  |  0.697  
  0.696  |  7.638  |  0.694  |  0.697  
  0.693  |  7.673  |  0.691  |  0.694  
  0.702  |  7.708  |  0.702  |  0.702  
  0.705  |  7.743  |  0.705  |  0.705  
  0.708  |  7.779  |  0.708  |  0.708  
  0.702  |  7.814  |  0.702  |  0.702  
  0.705  |  7.849  |  0.705  |  0.705  
  0.693  |  7.918  |  0.693  |  0.693  
  0.699  |  7.953  |  0.699  |  0.699  
  0.702  |  7.988  |  0.703  |  0.700  
  0.711  |  8.024  |  0.713  |  0.710  
  0.699  |  8.059  |  0.699  |  0.699  
  0.705  |  8.094  |  0.705  |  0.705  
  0.699  |  8.129  |  0.699  |  0.699  
  0.699  |  8.164  |  0.699  |  0.699  
  0.696  |  8.199  |  0.696  |  0.696  
  0.693  |  8.233  |  0.693  |  0.693  
  0.702  |  8.268  |  0.702  |  0.702  
  0.705  |  8.304  |  0.705  |  0.705  
  0.702  |  8.339  |  0.703  |  0.700  
  0.702  |  8.374  |  0.702  |  0.702  
  0.702  |  8.409  |  0.700  |  0.703  
  0.696  |  8.444  |  0.694  |  0.697  
  0.696  |  8.478  |  0.696  |  0.696  
  0.696  |  8.513  |  0.697  |  0.694  
  0.702  |  8.548  |  0.702  |  0.702  
  0.705  |  8.584  |  0.705  |  0.705  
  0.702  |  8.619  |  0.703  |  0.700  
  0.705  |  8.654  |  0.705  |  0.705  
  0.696  |  8.689  |  0.697  |  0.694  
  0.699  |  8.724  |  0.699  |  0.699  
  0.696  |  8.759  |  0.694  |  0.697  
  0.696  |  8.793  |  0.694  |  0.697  
  0.702  |  8.828  |  0.700  |  0.703  
  0.702  |  8.863  |  0.703  |  0.700  
  0.708  |  8.899  |  0.708  |  0.708  
  0.702  |  8.934  |  0.702  |  0.702  
  0.702  |  8.969  |  0.702  |  0.702  
  0.696  |  9.004  |  0.697  |  0.694  
  0.705  |  9.039  |  0.705  |  0.705  
  0.680  |  9.073  |  0.682  |  0.679  
  0.696  |  9.108  |  0.694  |  0.697  
  0.702  |  9.143  |  0.702  |  0.702  
  0.714  |  9.179  |  0.716  |  0.713  
  0.714  |  9.214  |  0.716  |  0.713  
  0.696  |  9.249  |  0.696  |  0.696  
  0.696  |  9.284  |  0.694  |  0.697  
  0.690  |  9.319  |  0.689  |  0.690  
  0.693  |  9.353  |  0.693  |  0.693  
  0.696  |  9.388  |  0.696  |  0.696  
  0.705  |  9.423  |  0.705  |  0.705  
  0.708  |  9.459  |  0.708  |  0.708  
  0.708  |  9.494  |  0.708  |  0.708  
  0.705  |  9.529  |  0.703  |  0.707  
  0.696  |  9.564  |  0.694  |  0.697  
  0.696  |  9.599  |  0.696  |  0.696  
  0.693  |  9.633  |  0.694  |  0.691  
  0.696  |  9.668  |  0.696  |  0.696  
  0.702  |  9.703  |  0.703  |  0.700  
  0.702  |  9.738  |  0.702  |  0.702  
  0.705  |  9.774  |  0.703  |  0.707  
  0.702  |  9.809  |  0.702  |  0.702  
  0.705  |  9.844  |  0.705  |  0.705  
  0.702  |  9.879  |  0.702  |  0.702  
  0.696  |  9.914  |  0.697  |  0.694  
  0.693  |  9.949  |  0.693  |  0.693  
  0.699  |  9.984  |  0.699  |  0.699  
  0.696  | 10.018  |  0.696  |  0.696  
  0.702  | 10.053  |  0.700  |  0.703  
  0.705  | 10.089  |  0.705  |  0.705  
  0.705  | 10.124  |  0.705  |  0.705  
  0.702  | 10.159  |  0.702  |  0.702  
  0.699  | 10.194  |  0.697  |  0.700  
  0.696  | 10.229  |  0.697  |  0.694  
  0.693  | 10.263  |  0.693  |  0.693  
  0.705  | 10.299  |  0.705  |  0.705  
  0.693  | 10.333  |  0.694  |  0.691  
  0.702  | 10.368  |  0.703  |  0.700  
  0.705  | 10.404  |  0.705  |  0.705  
  0.702  | 10.439  |  0.700  |  0.703  
  0.705  | 10.474  |  0.705  |  0.705  
  0.699  | 10.509  |  0.697  |  0.700  
