CPU Frequency: 1000mhz
starting lcm thread... 
starting setpoint thread... 
starting print thread... 
initializing imu... 
initializing controller...
initializing motors...
initializing odometry...
attaching imu interupt...
we are running!!!

RUNNING...
SENSORS | ODOMETRY |
  X_DOT  |    X    |
  0.354  |  0.830  |  0.362  |  0.346  
  0.323  |  0.833  |  0.323  |  0.323  
  0.354  |  0.836  |  0.362  |  0.346  
  0.323  |  0.843  |  0.323  |  0.324  
  0.323  |  0.843  |  0.323  |  0.324  
  0.323  |  0.850  |  0.323  |  0.323  
  0.339  |  0.853  |  0.339  |  0.339  
  0.323  |  0.856  |  0.331  |  0.316  
  0.339  |  0.860  |  0.331  |  0.346  
  0.323  |  0.863  |  0.331  |  0.316  
  0.354  |  0.866  |  0.354  |  0.354  
  0.339  |  0.870  |  0.346  |  0.331  
  0.323  |  0.873  |  0.323  |  0.323  
  0.339  |  0.876  |  0.346  |  0.331  
  0.323  |  0.880  |  0.323  |  0.323  
  0.354  |  0.883  |  0.354  |  0.354  
  0.323  |  0.886  |  0.323  |  0.323  
  0.339  |  0.890  |  0.339  |  0.339  
  0.323  |  0.893  |  0.331  |  0.316  
  0.339  |  0.896  |  0.339  |  0.339  
  0.323  |  0.900  |  0.323  |  0.323  
  0.339  |  0.903  |  0.339  |  0.339  
  0.339  |  0.906  |  0.339  |  0.339  
  0.339  |  0.910  |  0.346  |  0.331  
  0.292  |  0.913  |  0.292  |  0.292  
  0.354  |  0.916  |  0.354  |  0.354  
  0.354  |  0.920  |  0.354  |  0.354  
  0.339  |  0.923  |  0.339  |  0.339  
  0.323  |  0.926  |  0.323  |  0.323  
  0.339  |  0.930  |  0.346  |  0.331  
  0.323  |  0.933  |  0.323  |  0.323  
  0.354  |  0.936  |  0.354  |  0.354  
  0.323  |  0.940  |  0.331  |  0.316  
  0.354  |  0.943  |  0.354  |  0.354  
  0.308  |  0.946  |  0.308  |  0.308  
  0.354  |  0.950  |  0.354  |  0.354  
  0.308  |  0.953  |  0.308  |  0.308  
  0.323  |  0.956  |  0.316  |  0.331  
  0.339  |  0.960  |  0.346  |  0.331  
  0.339  |  0.963  |  0.346  |  0.331  
  0.308  |  0.970  |  0.308  |  0.308  
  0.308  |  0.970  |  0.308  |  0.308  
  0.323  |  0.976  |  0.331  |  0.316  
  0.339  |  0.980  |  0.346  |  0.331  
  0.323  |  0.983  |  0.316  |  0.331  
  0.339  |  0.986  |  0.339  |  0.339  
  0.339  |  0.990  |  0.339  |  0.339  
  0.323  |  0.993  |  0.331  |  0.316  
  0.339  |  0.996  |  0.339  |  0.339  
  0.339  |  1.000  |  0.346  |  0.331  
  0.354  |  1.003  |  0.354  |  0.354  
  0.339  |  1.007  |  0.331  |  0.346  
  0.308  |  1.010  |  0.316  |  0.300  
  0.339  |  1.013  |  0.339  |  0.339  
  0.308  |  1.016  |  0.316  |  0.300  
  0.354  |  1.020  |  0.354  |  0.354  
  0.339  |  1.023  |  0.339  |  0.339  
  0.339  |  1.026  |  0.339  |  0.339  
  0.323  |  1.030  |  0.331  |  0.316  
  0.339  |  1.033  |  0.346  |  0.331  
  0.323  |  1.036  |  0.323  |  0.323  
  0.354  |  1.040  |  0.354  |  0.354  
  0.308  |  1.043  |  0.308  |  0.308  
  0.369  |  1.047  |  0.369  |  0.369  
  0.308  |  1.050  |  0.308  |  0.308  
  0.369  |  1.053  |  0.369  |  0.369  
  0.308  |  1.056  |  0.308  |  0.308  
  0.354  |  1.060  |  0.354  |  0.354  
  0.308  |  1.063  |  0.316  |  0.300  
  0.369  |  1.067  |  0.369  |  0.369  
  0.308  |  1.070  |  0.308  |  0.308  
  0.354  |  1.073  |  0.362  |  0.346  
  0.323  |  1.076  |  0.323  |  0.323  
  0.354  |  1.080  |  0.354  |  0.354  
  0.323  |  1.083  |  0.323  |  0.323  
  0.339  |  1.087  |  0.339  |  0.339  
  0.339  |  1.090  |  0.346  |  0.331  
  0.339  |  1.093  |  0.339  |  0.339  
  0.308  |  1.096  |  0.308  |  0.308  
  0.354  |  1.100  |  0.362  |  0.346  
  0.339  |  1.106  |  0.339  |  0.339  
  0.339  |  1.110  |  0.339  |  0.339  
  0.339  |  1.113  |  0.339  |  0.339  
  0.323  |  1.116  |  0.316  |  0.331  
  0.339  |  1.120  |  0.346  |  0.331  
  0.339  |  1.123  |  0.339  |  0.339  
  0.354  |  1.127  |  0.354  |  0.354  
  0.308  |  1.130  |  0.316  |  0.300  
  0.369  |  1.133  |  0.369  |  0.369  
  0.323  |  1.137  |  0.323  |  0.323  
  0.339  |  1.140  |  0.339  |  0.339  
  0.323  |  1.143  |  0.331  |  0.316  
  0.339  |  1.147  |  0.339  |  0.339  
  0.339  |  1.150  |  0.339  |  0.339  
  0.339  |  1.153  |  0.339  |  0.339  
  0.323  |  1.157  |  0.323  |  0.323  
  0.339  |  1.160  |  0.346  |  0.331  
  0.323  |  1.163  |  0.323  |  0.323  
  0.354  |  1.167  |  0.354  |  0.354  
  0.308  |  1.170  |  0.308  |  0.308  
  0.354  |  1.173  |  0.362  |  0.346  
  0.308  |  1.176  |  0.308  |  0.308  
  0.354  |  1.180  |  0.354  |  0.354  
  0.323  |  1.183  |  0.323  |  0.323  
  0.369  |  1.187  |  0.369  |  0.369  
  0.323  |  1.190  |  0.331  |  0.316  
  0.339  |  1.194  |  0.339  |  0.339  
  0.323  |  1.197  |  0.331  |  0.316  
  0.323  |  1.200  |  0.331  |  0.316  
  0.354  |  1.204  |  0.354  |  0.354  
  0.323  |  1.207  |  0.323  |  0.323  
  0.323  |  1.210  |  0.323  |  0.323  
  0.339  |  1.213  |  0.331  |  0.346  
  0.354  |  1.217  |  0.354  |  0.354  
  0.323  |  1.220  |  0.323  |  0.323  
  0.339  |  1.223  |  0.339  |  0.339  
  0.323  |  1.230  |  0.323  |  0.323  
  0.339  |  1.233  |  0.339  |  0.339  
  0.339  |  1.237  |  0.339  |  0.339  
  0.323  |  1.240  |  0.331  |  0.316  
  0.339  |  1.243  |  0.339  |  0.339  
  0.339  |  1.247  |  0.346  |  0.331  
  0.339  |  1.250  |  0.331  |  0.346  
  0.308  |  1.253  |  0.316  |  0.300  
  0.323  |  1.256  |  0.331  |  0.316  
  0.339  |  1.260  |  0.331  |  0.346  
  0.323  |  1.263  |  0.316  |  0.331  
  0.339  |  1.266  |  0.346  |  0.331  
  0.339  |  1.270  |  0.339  |  0.339  
  0.369  |  1.274  |  0.377  |  0.362  
  0.323  |  1.277  |  0.323  |  0.323  
  0.323  |  1.280  |  0.331  |  0.316  
  0.339  |  1.283  |  0.339  |  0.339  
  0.354  |  1.287  |  0.354  |  0.354  
  0.323  |  1.290  |  0.331  |  0.316  
  0.339  |  1.293  |  0.339  |  0.339  
  0.323  |  1.297  |  0.331  |  0.316  
  0.339  |  1.300  |  0.339  |  0.339  
  0.308  |  1.303  |  0.308  |  0.308  
  0.323  |  1.306  |  0.316  |  0.331  
  0.354  |  1.310  |  0.362  |  0.346  
  0.354  |  1.313  |  0.354  |  0.354  
  0.323  |  1.317  |  0.331  |  0.316  
  0.323  |  1.323  |  0.323  |  0.323  
  0.323  |  1.323  |  0.323  |  0.323  
  0.323  |  1.330  |  0.323  |  0.323  
  0.339  |  1.333  |  0.346  |  0.331  
  0.308  |  1.336  |  0.300  |  0.316  
  0.354  |  1.340  |  0.354  |  0.354  
  0.323  |  1.343  |  0.323  |  0.323  
  0.354  |  1.347  |  0.354  |  0.354  
  0.323  |  1.350  |  0.323  |  0.323  
  0.339  |  1.353  |  0.346  |  0.331  
  0.323  |  1.357  |  0.323  |  0.323  
  0.354  |  1.360  |  0.354  |  0.354  
  0.339  |  1.363  |  0.346  |  0.331  
  0.323  |  1.367  |  0.323  |  0.323  
  0.339  |  1.370  |  0.339  |  0.339  
  0.308  |  1.373  |  0.300  |  0.316  
  0.354  |  1.377  |  0.354  |  0.354  
  0.323  |  1.380  |  0.331  |  0.316  
  0.354  |  1.383  |  0.354  |  0.354  
  0.308  |  1.387  |  0.316  |  0.300  
  0.354  |  1.390  |  0.354  |  0.355  
  0.323  |  1.393  |  0.323  |  0.323  
  0.354  |  1.397  |  0.354  |  0.354  
  0.323  |  1.400  |  0.323  |  0.323  
  0.339  |  1.403  |  0.331  |  0.346  
  0.308  |  1.406  |  0.316  |  0.300  
  0.339  |  1.410  |  0.346  |  0.331  
  0.323  |  1.413  |  0.323  |  0.323  
  0.354  |  1.417  |  0.354  |  0.354  
  0.323  |  1.420  |  0.331  |  0.316  
  0.323  |  1.423  |  0.323  |  0.323  
  0.339  |  1.426  |  0.339  |  0.339  
  0.339  |  1.430  |  0.339  |  0.339  
  0.323  |  1.436  |  0.323  |  0.323  
  0.354  |  1.440  |  0.354  |  0.354  
  0.354  |  1.440  |  0.354  |  0.354  
  0.308  |  1.446  |  0.316  |  0.300  
  0.354  |  1.450  |  0.354  |  0.354  
  0.323  |  1.453  |  0.323  |  0.323  
  0.339  |  1.456  |  0.346  |  0.331  
  0.308  |  1.460  |  0.308  |  0.308  
  0.354  |  1.463  |  0.354  |  0.354  
  0.339  |  1.466  |  0.339  |  0.339  
  0.354  |  1.470  |  0.362  |  0.346  
  0.308  |  1.473  |  0.308  |  0.308  
  0.354  |  1.477  |  0.354  |  0.354  
  0.323  |  1.480  |  0.323  |  0.323  
  0.339  |  1.483  |  0.346  |  0.331  
  0.323  |  1.486  |  0.316  |  0.331  
  0.339  |  1.490  |  0.346  |  0.331  
  0.339  |  1.493  |  0.339  |  0.339  
  0.339  |  1.497  |  0.346  |  0.331  
  0.323  |  1.500  |  0.316  |  0.331  
  0.354  |  1.503  |  0.354  |  0.354  
  0.308  |  1.506  |  0.316  |  0.300  
  0.354  |  1.510  |  0.354  |  0.354  
  0.339  |  1.513  |  0.339  |  0.339  
  0.354  |  1.517  |  0.362  |  0.346  
  0.292  |  1.520  |  0.300  |  0.285  
  0.339  |  1.523  |  0.339  |  0.339  
  0.323  |  1.526  |  0.331  |  0.316  
  0.354  |  1.530  |  0.354  |  0.354  
  0.339  |  1.533  |  0.339  |  0.339  
  0.323  |  1.536  |  0.323  |  0.323  
  0.339  |  1.540  |  0.339  |  0.339  
  0.354  |  1.543  |  0.354  |  0.354  
  0.308  |  1.546  |  0.316  |  0.300  
  0.354  |  1.550  |  0.362  |  0.346  
  0.308  |  1.553  |  0.308  |  0.308  
  0.323  |  1.556  |  0.316  |  0.331  
  0.339  |  1.560  |  0.346  |  0.331  
  0.354  |  1.563  |  0.362  |  0.346  
  0.354  |  1.567  |  0.354  |  0.354  
  0.323  |  1.570  |  0.323  |  0.323  
  0.308  |  1.573  |  0.316  |  0.300  
  0.354  |  1.576  |  0.354  |  0.354  
  0.308  |  1.583  |  0.316  |  0.300  
  0.339  |  1.586  |  0.346  |  0.331  
  0.339  |  1.590  |  0.339  |  0.339  
  0.323  |  1.593  |  0.323  |  0.323  
  0.339  |  1.596  |  0.339  |  0.339  
  0.339  |  1.600  |  0.331  |  0.346  
  0.308  |  1.603  |  0.300  |  0.316  
  0.354  |  1.606  |  0.354  |  0.354  
  0.323  |  1.609  |  0.323  |  0.323  
  0.354  |  1.613  |  0.362  |  0.346  
  0.323  |  1.616  |  0.331  |  0.316  
  0.339  |  1.620  |  0.346  |  0.331  
  0.323  |  1.623  |  0.323  |  0.323  
  0.354  |  1.626  |  0.354  |  0.354  
  0.339  |  1.630  |  0.346  |  0.331  
  0.323  |  1.633  |  0.323  |  0.323  
  0.323  |  1.636  |  0.323  |  0.323  
  0.354  |  1.640  |  0.354  |  0.354  
  0.339  |  1.643  |  0.339  |  0.339  
  0.339  |  1.646  |  0.346  |  0.331  
  0.308  |  1.649  |  0.308  |  0.308  
  0.354  |  1.653  |  0.354  |  0.354  
  0.323  |  1.656  |  0.323  |  0.323  
  0.354  |  1.660  |  0.354  |  0.354  
  0.339  |  1.663  |  0.339  |  0.339  
  0.323  |  1.666  |  0.331  |  0.316  
  0.339  |  1.670  |  0.339  |  0.339  
  0.339  |  1.673  |  0.346  |  0.331  
  0.323  |  1.676  |  0.323  |  0.323  
  0.339  |  1.680  |  0.339  |  0.339  
  0.354  |  1.683  |  0.354  |  0.354  
  0.339  |  1.687  |  0.339  |  0.339  
  0.308  |  1.690  |  0.316  |  0.300  
  0.354  |  1.693  |  0.354  |  0.354  
  0.308  |  1.700  |  0.300  |  0.316  
  0.323  |  1.703  |  0.323  |  0.323  
  0.339  |  1.706  |  0.339  |  0.339  
  0.354  |  1.710  |  0.354  |  0.354  
  0.339  |  1.713  |  0.339  |  0.339  
  0.323  |  1.716  |  0.331  |  0.316  
  0.323  |  1.719  |  0.331  |  0.316  
  0.339  |  1.723  |  0.339  |  0.339  
  0.339  |  1.726  |  0.339  |  0.339  
  0.339  |  1.730  |  0.339  |  0.339  
  0.339  |  1.733  |  0.346  |  0.331  
  0.339  |  1.736  |  0.339  |  0.339  
  0.339  |  1.740  |  0.339  |  0.339  
  0.339  |  1.743  |  0.339  |  0.339  
  0.323  |  1.746  |  0.323  |  0.323  
  0.339  |  1.750  |  0.346  |  0.331  
  0.323  |  1.753  |  0.323  |  0.323  
  0.323  |  1.756  |  0.316  |  0.331  
  0.339  |  1.759  |  0.339  |  0.339  
  0.323  |  1.763  |  0.331  |  0.316  
  0.354  |  1.766  |  0.354  |  0.354  
  0.323  |  1.769  |  0.331  |  0.316  
  0.339  |  1.773  |  0.339  |  0.339  
  0.339  |  1.776  |  0.346  |  0.331  
  0.308  |  1.779  |  0.316  |  0.300  
  0.339  |  1.783  |  0.339  |  0.339  
  0.354  |  1.786  |  0.354  |  0.354  
  0.339  |  1.790  |  0.339  |  0.339  
  0.323  |  1.793  |  0.323  |  0.323  
  0.308  |  1.796  |  0.316  |  0.300  
  0.354  |  1.799  |  0.346  |  0.362  
  0.339  |  1.803  |  0.339  |  0.339  
  0.323  |  1.806  |  0.331  |  0.316  
  0.323  |  1.809  |  0.323  |  0.323  
  0.354  |  1.813  |  0.362  |  0.346  
  0.339  |  1.816  |  0.339  |  0.339  
  0.323  |  1.819  |  0.323  |  0.323  
  0.323  |  1.826  |  0.323  |  0.323  
  0.354  |  1.829  |  0.362  |  0.346  
  0.339  |  1.833  |  0.339  |  0.339  
  0.339  |  1.836  |  0.339  |  0.339  
  0.323  |  1.839  |  0.331  |  0.316  
  0.323  |  1.843  |  0.331  |  0.316  
  0.323  |  1.846  |  0.323  |  0.323  
  0.339  |  1.849  |  0.331  |  0.346  
  0.323  |  1.852  |  0.323  |  0.323  
  0.339  |  1.856  |  0.331  |  0.346  
  0.339  |  1.859  |  0.346  |  0.331  
  0.323  |  1.862  |  0.331  |  0.316  
  0.354  |  1.866  |  0.362  |  0.346  
  0.323  |  1.869  |  0.323  |  0.323  
  0.354  |  1.873  |  0.354  |  0.354  
  0.308  |  1.876  |  0.300  |  0.316  
  0.308  |  1.879  |  0.308  |  0.308  
  0.339  |  1.882  |  0.331  |  0.346  
  0.354  |  1.886  |  0.362  |  0.346  
  0.292  |  1.888  |  0.300  |  0.285  
  0.369  |  1.892  |  0.377  |  0.362  
  0.339  |  1.896  |  0.339  |  0.339  
  0.308  |  1.899  |  0.308  |  0.308  
  0.339  |  1.902  |  0.339  |  0.339  
  0.339  |  1.905  |  0.346  |  0.331  
  0.323  |  1.912  |  0.323  |  0.323  
  0.339  |  1.915  |  0.346  |  0.331  
